step,syringe,action,port,uL,uL/min
1,0,Interrupt,,,-
1,1,Interrupt,,,-
2,0,Empty Syringe,,,-
2,1,Empty Syringe,,,-
3,0,Prime Reagent,1,,-
3,1,Prime Reagent,1,,-
4,0,Prime Reagent,5,,-
4,1,Prime Reagent,5,,-
5,1,Draw,5,50,2000
6,1,Dispense,3,30,100
6,0,Draw,2,29,96.66
7,1,Dispense,2,20,100
7,0,Dispense,6,1,5
8,0,Empty Syringe,,,-
8,1,Empty Syringe,,,-
9,1,Draw,1,50,2000
10,1,Dispense,3,30,100
10,0,Draw,2,29,96.66
11,1,Dispense,2,20,100
11,0,Dispense,6,1,5
12,0,Empty Syringe,,,-
12,1,Empty Syringe,,,-
